expanded_nodes,optimal_solution_length,time,heuristic_avg_value,heuristic_root_value
14028344,57,76.979,27.1869,41
4415279,55,21.7912,23.3948,43
30003145,59,169.358,27.7517,41
5253685,56,25.9895,26.6208,42
2021382,56,8.97123,28.1532,42
969356,52,4.13123,27.4165,36
7170013,52,37.8161,23.3837,30
2618503,50,12.041,24.4245,32
313211,46,1.199,21.5037,32
17805045,59,96.7116,27.735,43
3525006,57,16.9613,28.7505,43
32334,45,0.114428,26.2362,35
831333,46,3.42716,19.5075,36
26088053,59,146.618,28.499,41
25792756,62,144.655,31.4546,44
909219,42,3.77868,18.6516,24
89166546,66,538.432,6.7252,46
1267588,55,5.64203,27.2594,43
154092,46,0.576351,22.9872,36
1995813,52,9.03496,24.573,36
5668025,54,28.9252,26.4034,34
13338796,59,74.2445,28.2474,41
1398857,49,6.26842,24.2771,33
4691710,54,23.6044,26.3122,34
6227205,52,32.637,24.7003,32
20161235,58,115.968,27.5853,40
11278428,53,61.789,25.4592,33
909442,52,3.75088,27.8727,36
3917549,54,19.0559,26.1191,38
215990,47,0.804947,24.8402,35
192534,50,0.719725,28.1648,38
17025056,59,93.3072,29.2737,43
18535767,60,105.87,30.1101,42
2063117,52,9.96728,25.9825,36
4626661,55,23.6304,26.9748,39
2309697,52,10.8398,25.7915,36
20889986,58,119.987,27.636,40
827864,53,3.6981,28.7101,41
1118025,49,4.99856,24.2808,35
6540243,54,36.5922,26.3806,36
5727374,54,30.3803,26.1219,36
48447,42,0.178347,23.3,30
7332466,64,38.3516,33.0528,48
2731989,50,13.1335,24.6075,32
539196,51,2.21519,27.3161,39
1430455,49,6.48704,22.9179,35
179689,47,0.710039,25.4753,35
119535,49,0.460677,25.1685,39
73083875,59,447.148,-1.55739,33
4399444,53,23.8125,25.0994,39
3031922,56,15.1484,28.0748,44
11641228,56,64.9458,26.8034,38
38607523,64,227.534,-27.0366,50
7221615,56,39.0913,27.8207,40
152123,41,0.585618,20.6961,29
46798812,55,282.905,-20.9797,29
484048,50,2.00352,26.1174,36
506538,51,2.09863,25.5453,37
49797791,57,297.645,-16.6841,35
-,-,-,-,-
508957,45,2.04274,21.7271,31
1828847,57,8.17972,29.0846,43
21862510,56,122.242,25.5476,40
5622335,51,28.7917,23.6183,31
920623,47,4.04949,22.6228,31
-,-,-,-,-
8430894,50,44.1766,23.9214,28
5471060,51,27.6812,25.118,31
8430894,50,44.1766,23.9214,28
5471060,51,27.6812,25.118,31
4579005,53,23.1064,25.3428,37
8179227,52,42.632,24.6644,30
557862,44,2.25888,20.6301,30
34437004,56,195.044,25.3943,38
188717,49,0.73115,23.8731,37
1373939,56,6.06477,28.7716,46
3440513,48,16.9573,22.0602,30
7622602,57,40.0061,27.7297,41
2184110,54,9.85398,27.598,34
619299,53,2.48521,27.3807,41
68633,42,0.244142,21.7811,28
3951356,57,19.2601,26.9136,43
744209,53,3.10578,28.0517,39
-,-,-,-,-
158355,44,0.594731,20.8886,32
195222,45,0.7541,22.2905,35
4681483,52,23.2424,25.962,34
-,-,-,-,-
3559259,54,17.4214,26.4619,38
820923,50,3.4329,26.0792,36
18150875,57,98.1855,26.8734,41
-,-,-,-,-
438960,46,1.76949,20.9652,34
276325,53,1.09585,27.7666,45
751475,50,3.15787,25.0634,34
1263033,49,5.64194,22.9222,35
191601,44,0.779106,21.2678,32
9499694,54,52.8779,25.1273,34
5342754,57,26.7001,28.7625,39
4484857,54,22.273,25.1702,38
